player,position,number,nat.,url,marketValue
Koke Vegas,Goalkeeper,1,Spain,https://www.transfermarkt.com/koke-vegas/profil/spieler/299715,0.8
Rúben Vezo,Centre-Back,14,"['Portugal', 'Cape Verde']",https://www.transfermarkt.com/ruben-vezo/profil/spieler/257851,6.0
Erick Cabaco,Centre-Back,18,"['Uruguay', 'Italy']",https://www.transfermarkt.com/erick-cabaco/profil/spieler/302991,4.0
Rober Pier,Centre-Back,4,Spain,https://www.transfermarkt.com/rober-pier/profil/spieler/387129,2.5
Chema,Centre-Back,6,Spain,https://www.transfermarkt.com/chema/profil/spieler/248330,2.5
Sergio Postigo,Centre-Back,15,Spain,https://www.transfermarkt.com/sergio-postigo/profil/spieler/158791,2.5
Genís Montolio,Centre-Back,26,Spain,https://www.transfermarkt.com/genis-montolio/profil/spieler/478426,0.2
Antonio Luna,Left-Back,22,Spain,https://www.transfermarkt.com/antonio-luna/profil/spieler/126516,1.5
Toño García,Left-Back,3,Spain,https://www.transfermarkt.com/tono-garcia/profil/spieler/125931,1.0
Coke,Right-Back,12,Spain,https://www.transfermarkt.com/coke/profil/spieler/71905,2.0
Shaq Moore,Right-Back,30,"['United States', 'Trinidad and Tobago']",https://www.transfermarkt.com/shaq-moore/profil/spieler/336168,0.3
Pedro López,Right-Back,19,Spain,https://www.transfermarkt.com/pedro-lopez/profil/spieler/25412,0.2
Nikola Vukcevic,Defensive Midfield,17,Montenegro,https://www.transfermarkt.com/nikola-vukcevic/profil/spieler/151470,2.5
Cheick Doukouré,Defensive Midfield,5,"[""Cote d'Ivoire"", 'France']",https://www.transfermarkt.com/cheick-doukoure/profil/spieler/129679,1.0
Pepelu,Defensive Midfield,32,Spain,https://www.transfermarkt.com/pepelu/profil/spieler/328480,0.3
José Campaña,Central Midfield,24,Spain,https://www.transfermarkt.com/jose-campana/profil/spieler/120095,15.0
Sanjin Prcic,Central Midfield,8,"['Bosnia-Herzegovina', 'France']",https://www.transfermarkt.com/sanjin-prcic/profil/spieler/125783,4.0
Fran Manzanara,Central Midfield,27,Spain,https://www.transfermarkt.com/fran-manzanara/profil/spieler/385084,0.3
Enis Bardhi,Attacking Midfield,10,North Macedonia,https://www.transfermarkt.com/enis-bardhi/profil/spieler/245014,15.0
Arturo Molina,Attacking Midfield,31,Spain,https://www.transfermarkt.com/arturo-molina/profil/spieler/337781,0.25
Moses Simon,Left Winger,7,Nigeria,https://www.transfermarkt.com/moses-simon/profil/spieler/274862,3.0
Jason,Right Winger,23,Spain,https://www.transfermarkt.com/jason/profil/spieler/263860,5.0
Rubén Rochina,Right Winger,16,Spain,https://www.transfermarkt.com/ruben-rochina/profil/spieler/67548,4.0
Samu García,Right Winger,14,Spain,https://www.transfermarkt.com/samu-garcia/profil/spieler/208890,0.1
Roger Martí,Centre-Forward,9,Spain,https://www.transfermarkt.com/roger-marti/profil/spieler/212391,10.0
José Luis Morales,Centre-Forward,11,Spain,https://www.transfermarkt.com/jose-luis-morales/profil/spieler/252677,10.0
Borja Mayoral,Centre-Forward,2,Spain,https://www.transfermarkt.com/borja-mayoral/profil/spieler/298976,4.0
Raphael Dwamena,Centre-Forward,20,Ghana,https://www.transfermarkt.com/raphael-dwamena/profil/spieler/254290,2.5
Emmanuel Boateng,Centre-Forward,21,Ghana,https://www.transfermarkt.com/emmanuel-boateng/profil/spieler/332612,2.5
Armando Sadiku,Centre-Forward,unknown,"['Albania', 'Bulgaria']",https://www.transfermarkt.com/armando-sadiku/profil/spieler/140082,0.7
Jordi Masip,Goalkeeper,1,Spain,https://www.transfermarkt.com/jordi-masip/profil/spieler/65263,6.0
Yoel Rodríguez,Goalkeeper,unknown,Spain,https://www.transfermarkt.com/yoel-rodriguez/profil/spieler/58115,1.5
José Antonio Caro,Goalkeeper,unknown,Spain,https://www.transfermarkt.com/jose-antonio-caro/profil/spieler/268946,0.4
Samuel Pérez,Goalkeeper,unknown,Spain,https://www.transfermarkt.com/samuel-perez/profil/spieler/363541,0.25
Fernando Calero,Centre-Back,5,Spain,https://www.transfermarkt.com/fernando-calero/profil/spieler/357884,10.0
Joaquín Fernández,Centre-Back,2,Spain,https://www.transfermarkt.com/joaquin-fernandez/profil/spieler/221321,3.0
Kiko Olivas,Centre-Back,4,Spain,https://www.transfermarkt.com/kiko-olivas/profil/spieler/51667,2.0
Alberto Guitián,Centre-Back,unknown,Spain,https://www.transfermarkt.com/alberto-guitian/profil/spieler/230895,0.6
Mohammed Salisu,Centre-Back,unknown,Ghana,https://www.transfermarkt.com/mohammed-salisu/profil/spieler/563963,0.25
Nacho Martínez,Left-Back,22,Spain,https://www.transfermarkt.com/nacho-martinez/profil/spieler/127554,5.0
